apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.github.ashutoshgngwr.noice_72', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.voklen.daily_diary_15', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([145, 29, 116], [350, 218, 5, 127]), [2, 0, 1], [0, 0]]
['net.foucry.pilldroid_350', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['openfoodfacts.github.scrachx.openfood_1434', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([59, 21, 38], [259, 215, 1, 43]), [7, 3, 1], [0, 0]]
['com.dessalines.habitmaker_15', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['de.tadris.fitness_1560', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.yacgroup.yacguide_8000', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.box2code.marschride_11', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([37, 4, 33], [141, 125, 1, 15]), [2, 0, 1], [0, 0]]
['nodo.crogers.exercisereminders_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.isoron.uhabits_20200', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['sh.ftp.rocketninelabs.meditationassistant.opensource_169', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gitlab.schaerphix_tool_nideau.nideau_2', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([52, 43, 9], [146, 141, 0, 5]), [13, 2, 1], [0, 0]]
['com.presley.fit_book_983', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [3, 0, 1], [0, 0]]
['io.github.engsergiu.react_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ch.thgoebel.spartathlonapp_11', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([24, 5, 19], [94, 83, 1, 10]), [2, 0, 1], [0, 0]]
['org.noise_planet.noisecapture_59', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.kmac5dev.mindfulnotifier_45', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([37, 4, 33], [141, 125, 1, 15]), [2, 0, 1], [0, 0]]
['de.storchp.opentracks.osmplugin.offline_49', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([35, 35, 0], [139, 138, 0, 1]), [1, 1, 0], [0, 0]]
['de.arnowelzel.android.periodical_102', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.bagaturchess_138', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([5, 5, 0], [39, 39, 0, 0]), [0, 0, 0], [0, 0]]
['dev.corruptedark.diditakemymeds_35', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['be.ac.ulb.lisa.idot.android.dicomviewer_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.yacgroup.yacguide.dev_20240326', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.codecivil.habsgleich_10802', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['edu.rit.csh.devin_5', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['de.felixnuesse.timedsilence_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.nutritionfacts.dailydozen_91', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.chaser.paintballnotificator_10201', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([91, 91, 0], [285, 271, 0, 14]), [0, 0, 0], [0, 0]]
['com.nyxkn.meditation_1703', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['com.ktprograms.watertracker_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.cyberit.wasgeht_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.micmun.android.nextcloudcookbook_302', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.DartChecker_40', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.drip_42', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([218, 132, 86], [560, 466, 0, 94]), [52, 1, 14], [0, 0]]
['de.neuwirthinformatik.alexander.archerystats_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ch.nilsgrob.android.bluemoon_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.addictologs_1', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([359, 190, 169], [796, 644, 0, 152]), [18, 2, 9], [0, 0]]
['br.com.frs.foodrestrictions_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.swgross.calorimeter_6', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['org.secuso.privacyfriendlyintervaltimer_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ca.momi.lift_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.secuso.privacyfriendlyfoodtracker_6', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([62, 7, 55], [140, 135, 0, 5]), [1, 0, 1], [0, 0]]
['com.jithware.brethap_126', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([99, 22, 77], [255, 178, 4, 73]), [2, 0, 1], [0, 0]]
['com.github.yeriomin.workoutlog_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['lying.fengfeng.foodrecords_14', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([6, 6, 0], [78, 54, 0, 24]), [1, 1, 0], [0, 0]]
['rocks.poopjournal.todont_400', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.uni_potsdam.hpi.openmensa_32', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.florianthaler.githo_12', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([37, 4, 33], [141, 125, 1, 15]), [2, 0, 1], [0, 0]]
['com.vishnuraghav.EnRecipes_3', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([27, 10, 17], [87, 80, 0, 7]), [1, 1, 1], [0, 0]]
['com.ei.bmicalc_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.theworld.help.cbtandroid_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['it.diab_491', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gk.simpleworkoutjournal_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.hiittimer.hiittimer_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.albdav.Cooky_2', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([121, 26, 95], [297, 203, 5, 89]), [2, 0, 1], [0, 0]]
['io.keepalive.android_130', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ie.delilahsthings.soothingloop_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.nima.mymood_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.lligainterm_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ca.chancehorizon.paseo_10605', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.application.homemedkit_48', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([15, 7, 8], [104, 78, 0, 26]), [3, 2, 1], [0, 0]]
['com.headi.app_1200', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.subsurface_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['openfoodfacts.github.scrachx.openbeauty_582', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([127, 28, 99], [235, 110, 5, 120]), [2, 1, 0], [0, 0]]
['ch.famoser.mensa_29', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.atr.hiit_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.health.openscale_65', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tombursch.kitchenowl_106', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['it.danieleverducci.lunatracker_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.derdilla.bloodPressureApp_46', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [3, 1, 1], [0, 0]]
['biz.binarysolutions.mindfulnessmeditation_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tjk104.openfndds_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.mcxa.zephyrlogger_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.winston69.simpill_20', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.wuapps.moredays_24', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.theripper.cb_app_1', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([133, 23, 110], [315, 212, 5, 98]), [2, 0, 1], [0, 0]]
['ds.pulsar_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.massive_36253', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([254, 136, 118], [651, 522, 0, 129]), [60, 0, 19], [0, 0]]
['com.avizitrx.sunrise.signal_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['br.com.colman.petals_3035002', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([69, 61, 8], [224, 220, 0, 4]), [3, 1, 2], [0, 0]]
['com.styrkurapp.app_101048', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
