apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.satdump.SatDump_8', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [57, 0, 0], [0, 0]]
['com.utyf.pmetro_114', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['info.varden.hauk_14', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.owntracks.android_420503003', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([292, 292, 0], [956, 731, 0, 225]), [2, 1, 1], [0, 0]]
['org.redcross.openmapkit_23', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.storchp.opentracks.osmplugin.offline_49', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([35, 35, 0], [139, 138, 0, 1]), [1, 1, 0], [0, 0]]
['com.palliser.nztides_21', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.codebutler.farebot_18', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['player.efis.data.sah.jap_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.fabiszewski.ulogger_311', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.pierrox.mcompass_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['pc.javier.seguime_53', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['player.efis.data.eur.rus_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.tu_darmstadt.seemoo.HardWhere_1', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([286, 286, 0], [924, 702, 0, 222]), [1, 0, 1], [0, 0]]
['org.broeuschmeul.android.gps.bluetooth.provider_126', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.siggel.coordinatejoker_40', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['foehnix.widget_40', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.android.gpstest.osmdroid_24099', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['page.codeberg.jumpingpants.opentransit_42', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([35, 35, 0], [127, 113, 7, 7]), [2, 1, 0], [0, 0]]
['org.daylightingsociety.wherearetheeyes_6', 1, [1, 1, 1, 1, 1, 1, 0, 0], 0, ([242, 0, 242], [448, 308, 0, 140]), [1, 0, 1], [0, 0]]
['de.k3b.android.locationMapViewer_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.junjunguo.pocketmaps_40', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([321, 321, 0], [1063, 840, 0, 223]), [2, 1, 1], [0, 0]]
['pl.nkg.geokrety_47', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['freemap.opentrail_11', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([60, 0, 60], [239, 237, 0, 2]), [2, 1, 1], [0, 0]]
['org.btcmap_54', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([544, 19, 525], [1030, 705, 0, 325]), [2, 1, 1], [0, 0]]
['de.c3nav.droid_14040501', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['app.fedilab.openmaps_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.fitchfamily.android.wifi_backend_42', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.addismaptransit.app_7', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
