apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.jerameeldelosreyes.sushi_15', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([212, 132, 80], [549, 456, 0, 93]), [57, 0, 14], [0, 0]]
['net.eneiluj.moneybuster_40', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([288, 288, 0], [940, 715, 0, 225]), [1, 0, 1], [0, 0]]
['com.btcontract.wallet_111', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([195, 195, 0], [535, 521, 0, 14]), [1, 1, 0], [0, 0]]
['com.decred.decredaddressscanner_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tombursch.kitchenowl_106', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['com.tkton.wallet_120', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([108, 53, 55], [263, 244, 0, 19]), [1, 0, 1], [0, 0]]
['com.cointrend_10302', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.pvpc.precio_luz_26', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([99, 20, 79], [257, 189, 4, 64]), [2, 0, 1], [0, 0]]
['de.blocklink.pigrid_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.secuso.privacyfriendlyfinancemanager_7', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([62, 7, 55], [140, 135, 0, 5]), [1, 0, 1], [0, 0]]
['eth.brume.wallet_536', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.ebaschiera.triplecamel_17', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.billthefarmer.specie_113', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
