apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['me.impa.knockonports_46', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([4, 0, 4], [18, 18, 0, 0]), [2, 1, 0], [0, 0]]
['com.gtp.showapicturetoyourfriend_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.emanuelef.remote_capture_78', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([24, 24, 0], [50, 44, 0, 6]), [3, 1, 0], [0, 0]]
['com.artivain.reseaudiscord_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.example.trigger_404', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([620, 620, 0], [1984, 1759, 0, 225]), [2, 1, 1], [0, 0]]
['studio.okcode.open_alert_viewer_170', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [3, 0, 1], [0, 0]]
['de.varengold.activeTAN_53', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.lf_net.pgpunlocker_2017051001', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.trisven.safenotes_10', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['com.yogeshpaliyal.keypass_1434', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([70, 7, 63], [164, 158, 0, 6]), [3, 1, 2], [0, 0]]
['org.pacien.tincapp_42', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [3, 0, 0], [0, 0]]
['v4lpt.vpt.pwg_106', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
