apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['tech.platypush.platypush_1000100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['se.lublin.mumla_109', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([144, 79, 65], [447, 300, 0, 147]), [4, 4, 4], [0, 0]]
['com.ensoft.imgurviewer_24000', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([67, 25, 42], [152, 119, 0, 33]), [5, 0, 5], [0, 0]]
['org.woheller69.solxpect_25', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.tobiasbielefeld.searchbar_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.yourok.torrserve_172', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([288, 288, 0], [940, 715, 0, 225]), [1, 0, 1], [0, 0]]
['com.cabbagelol.bfban_523', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([46, 9, 37], [216, 179, 1, 36]), [3, 1, 1], [0, 0]]
['com.greenart7c3.nostrsigner_129', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([277, 89, 188], [1281, 1167, 0, 114]), [4, 2, 2], [0, 0]]
['net.gitsaibot.af_19', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.drawpile_2020204004', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([100, 93, 7], [281, 261, 1, 19]), [34, 1, 4], [0, 0]]
['org.gnosco.share2archivetoday_30', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
