apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.tutpro.baresip_415', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([90, 0, 90], [225, 225, 0, 0]), [2, 1, 1], [0, 0]]
['us.spotco.carrion_123', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.chooloo.www.koler_82', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.nulide.findmydevice_33', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([6, 6, 0], [78, 54, 0, 24]), [1, 1, 0], [0, 0]]
['org.smssecure.smssecure_211', 1, [1, 1, 1, 1, 1, 1, 0, 0], 0, ([8, 0, 8], [25, 25, 0, 0]), [1, 1, 0], [0, 0]]
['de.wivewa.dialer_11', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['org.fossify.phone_6', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['bughunter2.smsfilter_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.everysoft.autoanswer_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.jitsi.meet_24050004', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([442, 281, 161], [1201, 944, 8, 249]), [62, 3, 19], [0, 0]]
['io.github.subhamtyagi.openinwhatsapp_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.jellyshack.block6_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.wordpress.sarfraznawaz.callerdetails_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['tech.bogomolov.incomingsmsgateway_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.tagavari.airmessage_139', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 12, 0], [75, 55, 0, 20]), [1, 1, 0], [0, 0]]
['co.ec.cnsyn.codecatcher_131', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['community.fairphone.mycontacts_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
