apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.videolan.vlc_13050738', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([588, 269, 319], [1803, 1543, 0, 260]), [4, 1, 3], [0, 0]]
['com.fastebro.androidrgbtool_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.github.devhyper.openvideoeditor_7', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([18, 18, 0], [29, 29, 0, 0]), [18, 4, 3], [0, 0]]
['com.freshollie.monkeyboard.keystoneradio_116', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.dn0ne.lotus_1002004', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([250, 242, 8], [842, 694, 0, 148]), [2, 1, 2], [0, 0]]
['it.reyboz.chordshift_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['github.daneren2005.dsub_208', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.meonwax.soundboard_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.w2sv.filenavigator_11', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['org.y20k.escapepod_44', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.kjxbyz.picguard_436', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([52, 14, 38], [179, 160, 1, 18]), [5, 2, 1], [0, 0]]
['godau.fynn.bandcampdirect_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['unisiegen.photographers.activity_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['allen.town.focus.mastodon_1630', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 3, 0], [11, 3, 0, 8]), [1, 0, 1], [0, 0]]
['org.phramusca.jamuz_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['felixwiemuth.lincal_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.fff.ccgt_1151', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['lying.fengfeng.snapsaver_7', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([214, 38, 176], [505, 315, 6, 184]), [3, 1, 1], [0, 0]]
['dev.danjackson.speaker_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.stingle.photos_57', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([237, 72, 165], [1164, 1034, 0, 130]), [3, 2, 1], [0, 0]]
['io.github.poretsky.tuningfork_103', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['amirz.dngprocessor_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.mrl.pixiv_10013', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.unicornsonlsd.finamp_52', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['tech.platypush.platypush_1000100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['moe.martini.midictrl_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ca.ramzan.virtuosity_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['atm.nasaimages_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.example.sshtry_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.drawpile_2020204004', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([100, 93, 7], [281, 261, 1, 19]), [34, 1, 4], [0, 0]]
