apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['gallery.memories_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.atai.TessUI_16', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([109, 76, 33], [345, 343, 0, 2]), [4, 2, 2], [0, 0]]
['org.dsandler.apps.markers_56', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.github.freewatermark.mobileapp_7004', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['com.dot.gallery_310204', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([147, 13, 134], [626, 413, 0, 213]), [20, 8, 1], [0, 0]]
['io.github.gsantner.memetastic_73', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.lufebe16.lbalance_1021100', 1, [0, 1, 0, 0, 0, 0, 0, 0], 0, ([52, 43, 9], [146, 141, 0, 5]), [11, 2, 1], [0, 0]]
['site.leos.apps.lespas_99', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([63, 63, 0], [173, 166, 0, 7]), [2, 2, 0], [0, 0]]
['cs4295.memecreator_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.nathanosman.chronosnap_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.lihotzki.pixelflood_10003', 1, [1, 1, 1, 1, 1, 1, 1, 0], 1, ([0, 0, 0], [0, 0, 0, 0]), [1, 0, 0], [0, 0]]
['de.digisocken.stop_o_moto_95', 1, [0, 1, 1, 1, 0, 0, 0, 0], 0, ([1, 0, 1], [1, 1, 0, 0]), [1, 1, 0], [2, 0]]
['org.jshobbysoft.cameraalign_9', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([5, 5, 0], [65, 45, 0, 20]), [1, 1, 0], [0, 0]]
['com.slavabarkov.tidy_2', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([111, 20, 91], [436, 417, 0, 19]), [2, 1, 1], [0, 0]]
['eu.quelltext.coloring_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.code61.deadpixel_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tomer.draw_100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.vauvenal5.yaga_4300', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([119, 19, 100], [282, 195, 4, 83]), [2, 0, 1], [0, 0]]
