apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['de.k3b.android.intentintercept_406', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['julianwi.javainstaller_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.segin.bfinterpreter_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['info.guardianproject.checkey_101', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.onyxbits.sensorreadout_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['nl.patrickkostjens.kandroid_20', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.activitymanager_551', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.projectvoodoo.screentestpatterns_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['micro.repl.ma7moud3ly_13', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.gh4a_75', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([43, 43, 0], [106, 98, 0, 8]), [1, 1, 1], [0, 0]]
['marto.rtl_tcp_andro_31', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([5, 0, 5], [17, 17, 0, 0]), [3, 1, 1], [0, 0]]
['com.github.sryze.wirebug_10100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.cleveroad.sample_1', 1, [0, 1, 0, 1, 0, 1, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [3, 0, 1], [0, 0]]
['com.garyodernichts.downgrader_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.termux_1020', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([5, 5, 0], [17, 17, 0, 0]), [3, 3, 0], [0, 0]]
['tk.giesecke.phoenix_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.getdisconnected.libreipsum_104', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.readystatesoftware.ghostlog_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['cn.rbc.termuc_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.packetsender.android_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.nathaniel.motus.umlclasseditor_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.simon.dankelmann.bluetoothlespam_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.sweak.qralarm_43', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([14, 6, 8], [91, 69, 0, 22]), [4, 3, 1], [0, 0]]
['com.unprompted.tildefriends.fdroid_32', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([2, 2, 0], [7, 6, 0, 1]), [1, 0, 1], [0, 0]]
['com.lonepulse.travisjr_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.zieren.rot13_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.asdoi.quicktiles_14', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.csicar.ning_201', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.vsmartcard.acardemulator_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['tk.hack5.treblecheck_5001001', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([1, 0, 1], [1, 1, 0, 0]), [1, 1, 0], [0, 0]]
['de.markusfisch.android.shadereditor_87', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([2, 2, 0], [11, 8, 0, 3]), [1, 1, 0], [0, 0]]
['com.bec3.mobilite_10310', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.wrmndfzzy.atomize_1', 1, [0, 1, 0, 0, 0, 0, 0, 0], 0, ([1, 1, 0], [3, 3, 0, 0]), [1, 1, 1], [0, 0]]
