apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.piepmeyer.gauguin_47', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ir.hsn6.turo_7', 1, [0, 1, 0, 0, 0, 0, 0, 0], 0, ([23, 23, 0], [75, 70, 0, 5]), [1, 1, 0], [0, 0]]
['com.gitea.theoden8.sudaku_9', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['com.goltzkiste.guessaday_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.vovagorodok.blichess_10', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([6, 0, 6], [8, 8, 0, 0]), [3, 2, 0], [0, 0]]
['de.cwde.freeshisen_17', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.pinyto.exalteddicer_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.jeyries.quake2_21', 1, [0, 1, 1, 0, 0, 0, 0, 0], 0, ([14, 14, 0], [27, 26, 0, 1]), [1, 1, 0], [0, 0]]
['me.anuraag.loveactualized_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['sh.fhs.ksre_200', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([52, 40, 12], [143, 138, 0, 5]), [1, 1, 1], [0, 0]]
['org.billthefarmer.gridle_118', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['uk.co.busydoingnothing.anagrams_14', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([17, 0, 17], [50, 48, 0, 2]), [2, 1, 0], [0, 0]]
['de.lsubel.amam_10401', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['app.crossword.yourealwaysbe.forkyz_6000000', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['atm.rocketguardian_1', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([494, 68, 426], [1824, 1725, 0, 99]), [2, 2, 0], [0, 0]]
['ca.rmen.nounours_350', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tjEnterprises.phase10Counter_22', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 0, 12], [32, 31, 0, 1]), [2, 1, 1], [0, 0]]
['io.github.divverent.aaaaxy_105302564', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([34, 29, 5], [74, 69, 0, 5]), [1, 1, 1], [0, 0]]
['se.tube42.kidsmem.android_17', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([296, 133, 163], [1105, 1004, 0, 101]), [2, 2, 0], [0, 0]]
['fluddokt.opsu.android_2', 1, [0, 1, 1, 1, 0, 0, 0, 0], 0, ([285, 122, 163], [1075, 974, 0, 101]), [2, 2, 0], [0, 0]]
['com.gitlab.ardash.appleflinger.android_1005014', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([87, 57, 30], [287, 272, 0, 15]), [3, 3, 0], [0, 0]]
['name.livitski.games.puzzle.android_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['edu.rit.poe.atomix_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.github.yamin8000.dooz_18', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([4, 0, 4], [8, 8, 0, 0]), [1, 1, 0], [0, 0]]
['org.secuso.privacyfriendlymemory_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.onyxbits.textfiction_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.stendhalgame.client_1048000', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.liri.liri_30105', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([52, 44, 8], [141, 140, 0, 1]), [3, 1, 1], [0, 0]]
['org.opensurge2d.surgeengine_30601', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([19, 0, 19], [52, 52, 0, 0]), [14, 1, 1], [0, 0]]
['com.nicue.onetwo_17', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
